sku_key,sku,style,category,size,mapping_scope
BTM043-PP-XXXL,BTM043-PP-XXXL,BTM043,Bottom,3XL,Amazon source-local
BTM044-PP-M,BTM044-PP-M,BTM044,Bottom,M,Amazon source-local
BTM044-PP-XL,BTM044-PP-XL,BTM044,Bottom,XL,Amazon source-local
BTM044-PP-XS,BTM044-PP-XS,BTM044,Bottom,XS,Amazon source-local
BTM044-PP-XXL,BTM044-PP-XXL,BTM044,Bottom,XXL,Amazon source-local
BTM044-PP-XXXL,BTM044-PP-XXXL,BTM044,Bottom,3XL,Amazon source-local
BTM045-PP-M,BTM045-PP-M,BTM045,Bottom,M,Amazon source-local
BTM045-PP-XL,BTM045-PP-XL,BTM045,Bottom,XL,Amazon source-local
BTM045-PP-XXL,BTM045-PP-XXL,BTM045,Bottom,XXL,Amazon source-local
BTM045-PP-XXXL,BTM045-PP-XXXL,BTM045,Bottom,3XL,Amazon source-local
BTM046-PP-M,BTM046-PP-M,BTM046,Bottom,M,Amazon source-local
BTM046-PP-XL,BTM046-PP-XL,BTM046,Bottom,XL,Amazon source-local
BTM047-PP-L,BTM047-PP-L,BTM047,Bottom,L,Amazon source-local
BTM047-PP-M,BTM047-PP-M,BTM047,Bottom,M,Amazon source-local
BTM047-PP-S,BTM047-PP-S,BTM047,Bottom,S,Amazon source-local
BTM047-PP-XS,BTM047-PP-XS,BTM047,Bottom,XS,Amazon source-local
BTM047-PP-XXL,BTM047-PP-XXL,BTM047,Bottom,XXL,Amazon source-local
BTM047-PP-XXXL,BTM047-PP-XXXL,BTM047,Bottom,3XL,Amazon source-local
BTM048-PP-L,BTM048-PP-L,BTM048,Bottom,L,Amazon source-local
BTM048-PP-M,BTM048-PP-M,BTM048,Bottom,M,Amazon source-local
BTM048-PP-XS,BTM048-PP-XS,BTM048,Bottom,XS,Amazon source-local
BTM048-PP-XXL,BTM048-PP-XXL,BTM048,Bottom,XXL,Amazon source-local
BTM048-PP-XXXL,BTM048-PP-XXXL,BTM048,Bottom,3XL,Amazon source-local
CH201-RED-M,CH201-RED-M,CH201,Bottom,M,Amazon source-local
CH202-ORANGE-L,CH202-ORANGE-L,CH202,Bottom,L,Amazon source-local
CH202-ORANGE-XXL,CH202-ORANGE-XXL,CH202,Bottom,XXL,Amazon source-local
CH203-MAROON-L,CH203-MAROON-L,CH203,Bottom,L,Amazon source-local
CH203-MAROON-S,CH203-MAROON-S,CH203,Bottom,S,Amazon source-local
CH204-PURPLE-L,CH204-PURPLE-L,CH204,Bottom,L,Amazon source-local
CH204-PURPLE-M,CH204-PURPLE-M,CH204,Bottom,M,Amazon source-local
CH204-PURPLE-S,CH204-PURPLE-S,CH204,Bottom,S,Amazon source-local
CH205-YELLOW-S,CH205-YELLOW-S,CH205,Bottom,S,Amazon source-local
CH205-YELLOW-XL,CH205-YELLOW-XL,CH205,Bottom,XL,Amazon source-local
CH205-YELLOW-XXL,CH205-YELLOW-XXL,CH205,Bottom,XXL,Amazon source-local
CH206-GREEN-M,CH206-GREEN-M,CH206,Bottom,M,Amazon source-local
CH206-GREEN-XXL,CH206-GREEN-XXL,CH206,Bottom,XXL,Amazon source-local
CH207-PINK-L,CH207-PINK-L,CH207,Bottom,L,Amazon source-local
CH208-MUSTARD-L,CH208-MUSTARD-L,CH208,Bottom,L,Amazon source-local
CH208-MUSTARD-M,CH208-MUSTARD-M,CH208,Bottom,M,Amazon source-local
CH208-MUSTARD-S,CH208-MUSTARD-S,CH208,Bottom,S,Amazon source-local
CH208-MUSTARD-XXL,CH208-MUSTARD-XXL,CH208,Bottom,XXL,Amazon source-local
CH209-BIEGE-L,CH209-BIEGE-L,CH209,Bottom,L,Amazon source-local
CH209-BIEGE-XL,CH209-BIEGE-XL,CH209,Bottom,XL,Amazon source-local
CH213-BROWN-L,CH213-BROWN-L,CH213,Bottom,L,Amazon source-local
CH213-BROWN-M,CH213-BROWN-M,CH213,Bottom,M,Amazon source-local
CH213-BROWN-S,CH213-BROWN-S,CH213,Bottom,S,Amazon source-local
DPT032,DPT032,DPT032,Dupatta,Free,Amazon source-local
DPT041,DPT041,DPT041,Dupatta,Free,Amazon source-local
DPT052,DPT052,DPT052,Dupatta,Free,Amazon source-local
J0001-DR-L,J0001-DR-L,J0001,Ethnic Dress,L,Amazon source-local
J0001-DR-M,J0001-DR-M,J0001,Ethnic Dress,M,Amazon source-local
J0001-DR-S,J0001-DR-S,J0001,Ethnic Dress,S,Amazon source-local
J0001-DR-XL,J0001-DR-XL,J0001,Ethnic Dress,XL,Amazon source-local
J0001-DR-XS,J0001-DR-XS,J0001,Ethnic Dress,XS,Amazon source-local
J0001-DR-XXL,J0001-DR-XXL,J0001,Ethnic Dress,XXL,Amazon source-local
J0001-DR-XXXL,J0001-DR-XXXL,J0001,Ethnic Dress,3XL,Amazon source-local
J0002-SKD-L,J0002-SKD-L,J0002,Set,L,Amazon source-local
J0002-SKD-M,J0002-SKD-M,J0002,Set,M,Amazon source-local
J0002-SKD-S,J0002-SKD-S,J0002,Set,S,Amazon source-local
J0002-SKD-XL,J0002-SKD-XL,J0002,Set,XL,Amazon source-local
J0002-SKD-XS,J0002-SKD-XS,J0002,Set,XS,Amazon source-local
J0002-SKD-XXL,J0002-SKD-XXL,J0002,Set,XXL,Amazon source-local
J0002-SKD-XXXL,J0002-SKD-XXXL,J0002,Set,3XL,Amazon source-local
